nucleobase_a nucleobase_adenine
nucleobase_c nucleobase_cytosine
nucleobase_g nucleobase_guanine
nucleobase_t nucleobase_thymine
nucleobase_u nucleobase_uracil
nucleobase_w nucleobase_weak nucleobase_at
nucleobase_s nucleobase_string nucleobase_cg
nucleobase_m nucleobase_amine nucleobase_ac
nucleobase_k nucleobase_ketone nucleobase_gt
nucleobase_r nucleobase_purine nucleobase_ag
nucleobase_y nucleobase_pyrimidine nucleobase_ct
nucleobase_b nucleobase_not_adenine nucleobase_cgt
nucleobase_d nucleobase_not_cytosine nucleobase_agt
nucleobase_h nucleobase_not_guanine nucleobase_act
nucleobase_v nucleobase_not_thymine nucleobase_acg
nucleobase_n nucleobase_any nucleobase_acgt
nucleobase_z nucleobase_zero nucleobase_none
